venue,rating,review_text,date
Durant Food Court (Asian Ghetto),5,"Steve's Korean BBQ here is a Berkeley institution. Massive portions for under 12 bucks, perfect after a late library session.",2024-09-08
Thai Basil,4,"Cheap, fast, and the pad see ew is genuinely good. Cash only sometimes so bring a card backup. Gets packed at lunch.",2024-09-19
Durant Food Court (Asian Ghetto),3,"The whole alley is a vibe but hygiene is questionable at some stalls. Stick to the busy ones with high turnover.",2024-10-01
Gypsy's Trattoria,4,"Best cheap pizza near campus. A slice and a drink for like 6 dollars. Seating is cramped but the focaccia sandwiches slap.",2024-10-11
Yali's Cafe,3,"Good for studying with coffee but the food is overpriced for what it is. Wifi is reliable which is the main draw.",2024-10-23
Durant Food Court (Asian Ghetto),5,"Halal options here are clutch. The gyro stall gives you a mountain of rice and meat for cheap. Student budget approved.",2024-11-05
Tako Sushi,2,"Sushi was kind of warm and the rice was off. For the price you're better off at the dining hall honestly.",2024-11-16
Durant Food Court (Asian Ghetto),4,"Boba spot in the alley has a huge menu and is way cheaper than the chains on Telegraph. Lines move fast.",2024-12-02
La Burrita,5,"Cheap burritos the size of your forearm. A super burrito easily feeds you twice. Open late which is the real win.",2025-01-15
Durant Food Court (Asian Ghetto),3,"Convenient when you have 30 minutes between classes but seating is basically nonexistent, you're eating standing up.",2025-02-10
